"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"s1[17,2]",-21.8241877625,-21.83715,0.993109911369835,0.996381330000003,-23.463045,-20.18077,1.00014857096814,6943.9666877935,5886.26507063615
"s1[18,2]",-20.8087722375,-20.73005,1.03312080134259,1.06065204,-22.62416,-19.244665,0.999902837099509,6186.80029708917,7154.72025887664
"s1[19,2]",-17.9923586125,-17.9869,0.368621604581508,0.36820371,-18.61312,-17.393195,1.00007387625146,6979.3889968359,6626.06293932794
"s1[20,2]",-18.1906713375,-18.18895,0.355935300731747,0.356491170000001,-18.778405,-17.615375,1.00008600360326,7268.53955148463,7086.47856670454
"s1[21,2]",-18.1939821,-18.1897,0.355638817760628,0.36271809,-18.776735,-17.61138,1.00031059473685,7583.83808031995,6763.54274788563
"s1[1,3]",-28.9504334,-28.94695,0.37834137490689,0.372503250000001,-29.577305,-28.329275,1.00023219741911,7720.91403031658,7047.68616451498
"s1[2,3]",-28.9454241125,-28.9423,0.378380421669482,0.381324720000001,-29.568525,-28.324985,1.00076192780284,6772.79895995954,6606.2577143405
"s1[3,3]",-28.943364575,-28.9419,0.377277399113775,0.37272564,-29.564605,-28.3217,1.00095650661903,7214.96915521796,6394.46830159304
"s1[4,3]",-26.570366875,-26.5702,0.0802232709653809,0.0796897499999986,-26.701405,-26.4372,0.999912698222556,7235.35085917068,7111.64209576861
"s1[5,3]",-26.5696138625,-26.57015,0.0796483827029117,0.0792449700000023,-26.699405,-26.438495,1.0003681288285,7077.04160087819,6584.07661258949
"s1[6,3]",-26.5685249875,-26.5684,0.0804326296217109,0.0790225800000002,-26.7022,-26.436995,1.00076661575863,7534.38545782773,7072.41573753055
"s1[7,3]",-30.16976755,-30.1698,0.0301394623441809,0.0299485200000039,-30.2187,-30.1197,1.00018896334386,7190.25159296588,6830.55466934939
"s1[8,3]",-30.1706215625,-30.1707,0.0296085593985472,0.0293554800000001,-30.2205,-30.122795,1.00024547278041,7607.11837538943,6285.28133657224
"s1[9,3]",-30.1703673,-30.1704,0.0303702942454723,0.030245039999998,-30.220705,-30.1208,1.00020319358458,7374.93289561865,7099.12215295029
"s1[10,3]",-28.1019373625,-28.1018,0.0802351707209574,0.080505180000002,-28.234005,-27.9677,0.999996859416427,7098.38869095919,6689.17320878634
"s1[11,3]",-28.098961275,-28.09905,0.0805748610386844,0.0808758299999985,-28.2319,-27.9658,0.999997344472528,6889.23912427117,6671.91993198902
"s1[12,3]",-28.0977771125,-28.098,0.0798908579629772,0.0794673599999991,-28.2296,-27.9662,0.999808231287724,7270.49436037554,6846.51219033625
"s1[13,3]",-28.0198941875,-28.0194,0.0649145592487937,0.0641965800000031,-28.12751,-27.91498,0.999847365704301,7270.61483702307,6984.01383330358
"s1[14,3]",-28.02066305,-28.02115,0.0653059640524133,0.0654567899999976,-28.1272,-27.911895,0.999958267181992,6421.716859406,6905.53791958237
"s1[15,3]",-28.01955135,-28.01895,0.0649521040664221,0.0635294099999968,-28.126605,-27.91299,0.999990182895543,6987.0583182947,6446.37248959414
"s1[16,3]",-27.9405323875,-27.9409,0.0494297908181633,0.0492223200000012,-28.021505,-27.8588,1.00076517987186,7031.75008328048,6625.32197353234
"s1[17,3]",-27.93899725,-27.9381,0.0501426127673797,0.0508531799999974,-28.0207,-27.857295,1.00172151460662,7473.32597634993,6891.66994372693
"s1[18,3]",-27.941019025,-27.9412,0.0505576402477687,0.0499636200000047,-28.0245,-27.857195,1.00008339501055,7196.45119818626,7095.01412987666
"s1[19,3]",-29.5987310125,-29.59615,0.222785678095048,0.220091969999995,-29.97331,-29.230895,1.00093715238698,7444.13112604385,6784.50798864699
"s1[20,3]",-29.597172825,-29.5958,0.22169311630325,0.219943710000001,-29.9659,-29.233175,1.00066762534903,7386.0928516797,6643.22816357441
"s1[21,3]",-29.6023356375,-29.60265,0.21709034762881,0.217349159999996,-29.959405,-29.2467,0.999996875153899,7298.67200687672,7097.29429074612
"s2[1,1]",8.3388295975,8.33808,0.60656977358713,0.609215165999999,7.3520515,9.3386665,1.00037641303602,7075.03425568007,7313.08945645614
"s2[2,1]",8.34508582875,8.346265,0.606310609348492,0.594811706999999,7.3364655,9.3385105,1.0001700294715,7375.26040748202,6465.88002930859
"s2[3,1]",8.079663585,8.081145,0.610334448663416,0.593158608000001,7.074781,9.088601,1.00011423087467,6599.77516948954,6683.31343719629
"s2[4,1]",12.5856924625,12.58555,0.374879730751747,0.381250589999999,11.97359,13.205845,1.00092348109232,6888.79571306139,6870.99060381646
"s2[5,1]",12.749202025,12.75455,0.384367066589522,0.39422334,12.118095,13.38641,1.00045134532517,7261.52542753317,6861.35160436562
"s2[6,1]",12.8560731375,12.85995,0.377519596094475,0.378804299999999,12.234765,13.477245,1.00002402984286,7520.18713314736,7355.27059584888
"s2[7,1]",9.75715129375,9.756675,0.0781407129623636,0.0777327180000003,9.6297845,9.8854625,1.00038917739735,7330.83241466562,6976.93814298492
"s2[8,1]",9.75017146625,9.75085,0.0801131203043123,0.0794747730000002,9.6186195,9.881232,1.00059198288794,7103.30636906128,7016.15789195285
"s2[9,1]",9.7595236975,9.75947,0.0791572841670815,0.0795044250000004,9.6288275,9.88885,1.00014644699398,7277.34561152774,6858.41497091531
"s2[10,1]",10.80449669875,10.80475,0.344692610730236,0.337588020000001,10.233295,11.3638,1.0004851558081,7049.15084190213,7176.29670499795
"s2[11,1]",10.61701447625,10.6126,0.338570460791717,0.344111459999999,10.057875,11.17402,1.00082065470467,7822.86874572917,7321.2886863118
"s2[12,1]",10.63387489875,10.6305,0.335785328081848,0.3365502,10.086885,11.187355,1.00105990610473,7185.51685764029,6761.22860836739
"s2[13,1]",11.4699877875,11.4701,0.0201056187194738,0.0200150999999981,11.4372,11.5034,0.999970327431144,7178.1539348477,6446.59110063504
"s2[14,1]",11.470094975,11.4703,0.020193334632864,0.0203116200000001,11.4365,11.5035,1.00036009371829,7440.45900063293,6465.1863477447
"s2[15,1]",11.4700576625,11.4699,0.0197199640189506,0.0195703200000005,11.4382,11.5029,1.00013255296329,7177.66362565366,7209.89625023157
"s2[16,1]",11.583106975,11.5826,0.109458008995761,0.109860659999999,11.402995,11.76151,0.999929790179499,7573.63570205938,7154.26443514532
"s2[17,1]",11.5911911625,11.5901,0.109116174410984,0.10837806,11.4071,11.770705,1.00061770630293,6848.20298719806,7011.92865163686
"s2[18,1]",11.5825658625,11.5826,0.109825928348903,0.108822840000002,11.4007,11.762215,1.00071193302925,7364.47780778582,7076.23211866664
"s2[19,1]",9.35986280875,9.35925,0.12007424021962,0.119705124000001,9.159255,9.558328,1.00004620352461,7430.16852666156,6589.85344812007
"s2[20,1]",9.3705520125,9.3703,0.11962964832231,0.11734779,9.1747865,9.5698345,1.0016792874617,6705.39881710378,6823.20520578063
"s2[21,1]",9.37076483,9.371035,0.119743073265828,0.121017225,9.1739645,9.5645145,1.0002478375423,7240.61331839025,7210.52656337754
"s2[1,2]",7.6613966525,7.662465,0.0905787433156192,0.0902606880000001,7.509943,7.8090905,1.00014006477892,7262.22041394524,6599.17781838585
"s2[2,2]",7.66050356625,7.660665,0.0897825015480043,0.0894156059999998,7.5116895,7.809651,1.00051714277628,6720.51561414213,6723.33886257481
"s2[3,2]",7.65996824,7.659465,0.0900282645588586,0.0902903400000003,7.512869,7.807041,0.999832258188982,7161.29236409673,6960.42530019496
"s2[4,2]",6.5495808875,6.54812,0.228895109306797,0.229439763,6.1669735,6.928425,1.00017729274334,7201.24759117771,6786.12746478067
"s2[5,2]",6.55317506625,6.552705,0.227897310926899,0.227126907000001,6.170229,6.933562,1.00028981851639,7292.14995344683,6516.58929017231
"s2[6,2]",6.55870941625,6.55726,0.228752015482312,0.226140978000001,6.186294,6.934574,1.00041587049385,7074.73569094192,7087.99300210017
"s2[7,2]",8.2313727725,8.238495,0.419762674019976,0.417173988000001,7.5464085,8.9175415,1.00013673551361,7188.83869679599,6449.49035492062
"s2[8,2]",8.200773285,8.201795,0.418908936080982,0.41942754,7.512637,8.8807915,0.999936505587755,7215.56046000201,6847.76821703122
"s2[9,2]",8.25609537,8.25648,0.423254718819872,0.420976857,7.5541755,8.956341,1.00095066467614,7678.73018873532,6938.08821396429
"s2[10,2]",6.45105985875,6.45091,0.0500877856907447,0.050052576,6.368989,6.5329235,1.0002894130037,6857.51576163048,6537.2639731892
"s2[11,2]",6.44987292125,6.45043,0.0499704116623929,0.0498820769999999,6.3669695,6.53184,1.00041947667769,7350.70230491603,7371.73852720035
"s2[12,2]",6.44913498125,6.44933,0.0493951252642873,0.0496300350000002,6.3671395,6.5295705,1.00102094526261,7329.2676893221,6880.57729817011
"s2[13,2]",5.88150986375,5.881955,0.211113364469072,0.211463238000001,5.532896,6.2271945,1.00084698443735,7127.29765888646,6999.8087455776
"s2[14,2]",5.87690998125,5.88114,0.208282623255292,0.209039187,5.5333985,6.2157095,0.999868817265372,7585.09348167905,7240.83005031467
"s2[15,2]",5.87144141125,5.87193,0.210140012297377,0.21015855,5.5251225,6.21789,0.999810989619136,7351.94948457078,6756.938320811
"s2[16,2]",5.27488421125,5.27666,0.379722564249121,0.383815488,4.640122,5.890837,0.999992581614235,7516.45950978303,7246.21672100813
