"X1.lambda","X2.lambda","X3.lambda","X4.lambda"
0.078477358,0.077275598,0.085807908,0.068673003
0.063063355,0.062724405,0.068889364,0.078861103
0.069297707,0.077347367,0.057080309,0.058490388
0.062406344,0.06806048,0.078865711,0.077739557
0.074720803,0.082163991,0.08536039,0.071789382
0.072881302,0.067869079,0.06214545,0.087622034
0.062552183,0.076155458,0.085153294,0.084372678
0.083024516,0.071791302,0.091384043,0.067221008
0.055752509,0.066387785,0.06489442,0.094902252
0.072511918,0.093036467,0.052845432,0.059330862
0.078544322,0.059763377,0.080810989,0.089667265
0.064531408,0.086181887,0.081766617,0.055077272
0.06029507,0.075973429,0.068266362,0.065835079
0.077024013,0.069261485,0.076794235,0.060698737
0.065858498,0.07091043,0.075522875,0.068888664
0.075438599,0.076491574,0.10231394,0.085667675
0.077892037,0.068976366,0.10227991,0.073184897
0.085482836,0.055559106,0.054192563,0.08209094
0.095203934,0.070315747,0.096806732,0.084322979
0.091830887,0.068246034,0.054797396,0.08203968
0.059650452,0.085769614,0.065092333,0.084636724
0.075069152,0.085777902,0.070350098,0.08167254
0.060382329,0.085188467,0.074449349,0.045211856
0.065755242,0.062938129,0.064327565,0.051050121
0.07476865,0.081517133,0.083990608,0.073319214
0.069701134,0.072642358,0.06234915,0.076339904
0.060849987,0.081727481,0.07154248,0.070453394
0.062912045,0.075183504,0.069865161,0.07844761
0.08553869,0.062761041,0.072362412,0.071316138
0.072122489,0.067688649,0.073322105,0.076731661
0.067881537,0.086308154,0.077789594,0.063707079
0.060145228,0.069620417,0.065861732,0.091621613
0.063183378,0.079514257,0.073918345,0.093124264
0.075237316,0.088420206,0.078933894,0.093898556
0.070191682,0.08708887,0.052682384,0.089274571
0.072445673,0.10212856,0.083841835,0.065188295
0.082284904,0.052939305,0.070742531,0.073923711
0.066768844,0.071570365,0.071393627,0.065583912
0.075710987,0.055860192,0.10125457,0.070675816
0.067151339,0.071397842,0.063108844,0.079371213
0.094908821,0.072550595,0.070872423,0.069063011
0.054727204,0.09575877,0.059053945,0.065329281
0.093519795,0.045300536,0.085229356,0.069287157
0.079837161,0.082563359,0.078066985,0.087400134
0.073712116,0.072842519,0.078971164,0.083402801
0.06086246,0.071804242,0.057832044,0.07567979
0.062037866,0.083822398,0.060827556,0.070988432
0.053064516,0.057583014,0.08772779,0.061411392
0.078883233,0.084570305,0.061976051,0.090660582
0.061434677,0.056258929,0.067512547,0.067549611
0.0520831,0.093732215,0.08950374,0.078578021
0.060177464,0.052466023,0.0672424,0.080784441
0.080378589,0.072156278,0.064177639,0.072927571
0.068399096,0.081031952,0.058806653,0.075768462
0.063950982,0.065321418,0.072649116,0.064146886
0.072430177,0.070469894,0.06318328,0.084346574
0.069321492,0.06710663,0.066680278,0.077936
0.072737135,0.072862931,0.070000234,0.068168291
0.060781066,0.068965083,0.077080983,0.070237192
0.070680713,0.065322128,0.071407891,0.095127008
0.078835137,0.073636079,0.072993964,0.059192305
0.079358338,0.075789135,0.063367052,0.08656796
0.075761606,0.057703186,0.084713911,0.066331552
0.076938967,0.090779409,0.076101092,0.087579302
0.064756141,0.059700152,0.060267316,0.06939795
0.087890649,0.09707926,0.089387553,0.075046395
0.068641558,0.058845151,0.053424533,0.058790513
0.07504195,0.064433433,0.070064761,0.076362955
0.065781998,0.07788231,0.058187522,0.078269119
0.071838622,0.08878937,0.0774527,0.069878028
0.056735662,0.053497234,0.078918433,0.099274395
0.061577459,0.081330412,0.081557998,0.066485226
0.07763232,0.080251087,0.064927817,0.07956307
0.074529399,0.077849145,0.082903307,0.075559261
0.079165805,0.065069503,0.067637899,0.069680863
0.07781348,0.080386762,0.088198104,0.061500406
0.067946507,0.069414174,0.088928414,0.079508834
0.087285771,0.07670637,0.060899333,0.071092905
0.067628604,0.07017073,0.067387287,0.06586845
0.073861513,0.079011392,0.0724351,0.074672332
0.11042973,0.074876477,0.068482011,0.066238942
0.046426706,0.073294594,0.08774996,0.091042031
0.11544161,0.076604947,0.070850927,0.059497027
0.065534052,0.061136014,0.07827274,0.079222366
0.079892736,0.07051582,0.065233631,0.088656683
0.063590275,0.076351732,0.093255702,0.062890137
0.065646888,0.077544932,0.086134078,0.085204682
0.082284308,0.072854463,0.059323566,0.074914225
0.076799959,0.07184427,0.076439637,0.089036194
0.06929994,0.074830061,0.078439292,0.073217776
0.065403239,0.064868378,0.073851768,0.073514832
0.075881849,0.064527228,0.06809624,0.092835683
0.074939922,0.065469529,0.088061272,0.075187131
0.077249419,0.058856349,0.064550242,0.074670931
0.068691606,0.08042495,0.077112337,0.099432197
0.07874934,0.059446552,0.082198014,0.058245331
0.067315326,0.10512605,0.06491115,0.074953076
0.080185079,0.063056582,0.09569069,0.083192545
0.070676844,0.076919386,0.057806016,0.068041681
0.093037636,0.076604776,0.063283306,0.094380005
0.073603615,0.086673316,0.062773699,0.060595178
0.07681398,0.066772012,0.079314128,0.072906619
0.069015059,0.065564164,0.068951639,0.067729667
0.060657512,0.076447427,0.073575867,0.066861496
0.070080957,0.061751762,0.065855966,0.055639593
0.064904449,0.074932477,0.081075092,0.065401293
0.063627307,0.072040663,0.07305614,0.097416629
0.057868727,0.072273857,0.070740436,0.062016199
0.087563717,0.056980235,0.073821339,0.097281677
0.076940242,0.084445645,0.073475215,0.072870214
0.067400242,0.082937588,0.091292685,0.076235386
0.057483066,0.065874511,0.080269572,0.06048148
0.056214077,0.089357683,0.05389987,0.089491656
0.087177841,0.08027098,0.078691461,0.049815947
0.067857275,0.060634209,0.072177079,0.10242818
0.075877791,0.076127362,0.070299203,0.072902643
0.086901987,0.074019436,0.10151487,0.068923844
0.061873478,0.070773978,0.066750868,0.086004334
0.084234739,0.063425172,0.065450948,0.063794978
0.062977694,0.066391576,0.075685391,0.069662337
0.055654705,0.064443859,0.059922598,0.075041471
0.055735135,0.062033255,0.073708374,0.072085335
0.11591042,0.07918466,0.066278172,0.076059382
0.048407129,0.072468157,0.079506574,0.066952301
