variable;mean;median;sd;mad;q5;q95;time;
p_fit[85;1];0.012818241011451;0.00514655;0.0258366003452812;0.0066325979076;0.0001812962;0.045704625;124.012229822879
p_fit[86;1];0.0128182183644718;0.00514655;0.0258365119430133;0.006632596425;0.0001812971;0.04570443;124.012411089293
p_fit[87;1];0.012818136904567;0.005146555;0.0258361877040001;0.0066325979076;0.00018129805;0.04570384;124.013082196969
p_fit[88;1];0.0128181295960698;0.005146555;0.0258361558327355;0.0066325971663;0.000181299;0.045703835;124.01314123888
p_fit[89;1];0.0128181011125458;0.00514656;0.0258360500758835;0.0066326023554;0.000181299;0.04570364;124.013378017033
p_fit[90;1];0.0128180096137463;0.005146565;0.0258356854974699;0.0066326023554;0.00018130085;0.045702955;124.014125152775
p_fit[91;1];0.012817997000329;0.005146565;0.0258356306621111;0.0066326023554;0.00018130085;0.045702855;124.014216116131
p_fit[92;1];0.0128179493204933;0.00514657;0.0258354441902551;0.0066326053206;0.0001813018;0.04570256;124.014611161454
p_fit[93;1];0.0128178864810727;0.00514657;0.0258351967852854;0.0066326016141;0.0001813027;0.04570207;124.01512312708
p_fit[94;1];0.0128178857811502;0.00514657;0.0258351948162737;0.0066326016141;0.0001813027;0.04570207;124.015128841954
p_fit[95;1];0.0128178785419805;0.00514657;0.0258351631525268;0.0066326008728;0.0001813027;0.04570207;124.015191589571
p_fit[96;1];0.0128178356832895;0.005146575;0.0258349969189751;0.0066326045793;0.00018130365;0.045701775;124.015538079771
p_fit[97;1];0.0128178227559547;0.005146575;0.0258349410533924;0.006632603838;0.00018130365;0.045701675;124.015643973346
p_fit[98;1];0.0128178125601853;0.00514658;0.0258349046517267;0.0066326105097;0.00018130365;0.04570158;124.01574143182
p_fit[99;1];0.0128177529417347;0.005146585;0.0258346668267881;0.0066326134749;0.0001813055;0.045701185;124.016211652909
p_fit[100;1];0.0128177397384475;0.005146585;0.0258346109052994;0.0066326127336;0.0001813055;0.04570109;124.016321920161
p_fit[101;1];0.0128177076178962;0.005146585;0.0258344857931488;0.0066326105097;0.0001813055;0.04570089;124.016584776049
p_fit[102;1];0.0128176789458945;0.005146585;0.0258343751907199;0.0066326082858;0.00018130645;0.045700695;124.016821836652
p_fit[103;1];0.0128176732368798;0.005146585;0.0258343521187393;0.0066326075445;0.00018130645;0.045700595;124.016871001939
p_fit[104;1];0.012817664820035;0.00514659;0.0258343132734582;0.0066326142162;0.00018130645;0.045700595;124.016930533713
p_fit[105;1];0.0128176600315603;0.00514659;0.0258342991419878;0.0066326134749;0.00018130645;0.0457005;124.016974095223
p_fit[106;1];0.0128176580145853;0.00514659;0.0258342919431771;0.0066326134749;0.00018130645;0.0457005;124.016995463115
p_fit[107;1];0.0128176474470207;0.00514659;0.0258342535016905;0.0066326134749;0.0001813074;0.0457004;124.017078958307
p_fit[108;1];0.0128176375690535;0.00514659;0.0258342087156311;0.0066326119923;0.00018130735;0.0457004;124.01716098228
p_fit[109;1];0.0128174340800003;0.005146605;0.0258334005281685;0.0066326194053;0.00018131015;0.045698925;124.018815860469
p_fit[110;1];0.012817392605184;0.00514661;0.0258332342727113;0.0066326238531;0.0001813111;0.045698635;124.019165878678
p_fit[111;1];0.0128173558577153;0.00514661;0.0258330978270426;0.0066326208879;0.000181312;0.04569834;124.019458364514
p_fit[112;1];0.0128173511451955;0.00514661;0.0258330788378985;0.0066326201466;0.000181312;0.04569834;124.019503980638
p_fit[113;1];0.007636881908889;0.00435992;0.0101689714647306;0.004745683992;0.00033350165;0.02545674;398.002454375098
p_fit[114;1];0.0076369957720135;0.00436003;0.0101690808628198;0.004746076881;0.00033351415;0.025456985;398.00628907599
p_fit[115;1];0.00763702285443725;0.004360055;0.0101691095612249;0.004746165837;0.000333518;0.02545709;398.007185726324
p_fit[116;1];0.00763704124311375;0.004360075;0.0101691264121447;0.004746232554;0.00033351995;0.0254571;398.007816102104
