"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"s1_raw[18,1]",0.807657652,0.8323985,0.325443450880123,0.541230543,0.4303351,1.3365835,3.45222589284543,4.51047949539356,23.3844786237874
"s1_raw[19,1]",0.92237916825,1.0934985,0.472674727632766,0.5088601959,0.22454415,1.443841,3.06435656597844,4.56098256629939,25.7419041795014
"s1_raw[20,1]",-0.280880310175,-0.393319,0.240800908414118,0.0849685473,-0.46925505,0.1685171,3.66280488935335,4.37475732801633,11.1954371077811
"s1_raw[21,1]",-0.030476865,-0.07499,1.48722911977965,2.213870211,-1.781332,1.71933,2.98957701366388,4.57441501404368,22.4883594784689
"s1_raw[1,2]",0.12787314475,0.2196555,0.599924123174504,0.9073600956,-0.62238905,0.83258705,3.3212692818864,4.47617071985605,15.9694136462171
"s1_raw[2,2]",-0.04060141625,-0.486064,1.06886058762167,0.4940519871,-0.951376,1.7935155,3.36531988963599,4.43922213370323,12.7652940521171
"s1_raw[3,2]",-0.441158589,-0.620476,0.538347381393333,0.4487081487,-0.92482,0.45111315,3.61228975401001,4.38695213481659,10.9819024146303
"s1_raw[4,2]",-1.322254465,-1.4087655,0.751452440949373,0.9876851397,-2.0893115,-0.38149845,2.93900329641191,4.61831654138236,11.389339487399
"s1_raw[5,2]",0.571217024,0.42343,1.26416938720503,1.3042143093,-1.080124,2.516775,3.34678215049151,4.45230496579929,11.2970729560172
"s1_raw[6,2]",0.2206728551,0.3034395,0.368271708116843,0.30881824113,-0.34749155,0.6615588,2.98827895807602,4.55501134216276,12.5786544363754
"s1_raw[7,2]",0.1414958302,-0.2296465,0.960064531111529,0.5227655013,-0.7226779,1.816457,3.33235525870425,4.45952675026648,11.1724223598368
"s1_raw[8,2]",-1.8437974125,-1.649635,0.589150313246483,0.563773476,-2.78081,-1.249888,3.49156862905223,4.40925880370581,11.7154238904557
"s1_raw[9,2]",-0.64513262775,-0.4240995,1.67934190073855,2.252306616,-2.8690135,1.20814,4.19106321198075,4.28566301491005,13.9667917330823
