variable;mean;median;sd;mad;q5;q95;rhat;ess_bulk;ess_tail;
s2[20;1];9.370930645;9.371815;0.118696252103918;0.120409359;9.1760785;9.5639805;1.00125116414342;6511.80552455243;6870.04441937296
s2[21;1];9.37280244375;9.37232;0.118931817203739;0.119971992;9.1749495;9.5710205;0.999944872361363;6765.51749574637;6888.01966197182
s2[1;2];7.658441795;7.658365;0.089741152051745;0.0887632620000001;7.508414;7.8040725;0.999853211508451;7273.24175144609;6877.72560909045
s2[2;2];7.6597512;7.65971;0.0887414895304362;0.0901198410000008;7.514693;7.8068675;1.00014315889654;6841.37117185913;6466.93985759593
s2[3;2];7.6590550875;7.65803;0.0893569834217121;0.0912243780000005;7.512508;7.8046715;1.00038487762794;7259.19195429729;6550.42377191669
s2[4;2];6.548498265;6.54983;0.231940892866454;0.23232342;6.1694325;6.9236835;1.00001173392119;7177.45401264731;6756.38856802031
s2[5;2];6.548181655;6.546355;0.230449886035517;0.23210103;6.1735895;6.9293115;1.00088169594998;6773.12827337756;6379.48649688012
s2[6;2];6.556766955;6.55735;0.228729712708499;0.226726605;6.167899;6.9304915;1.00006029222931;7239.77400820855;6359.78262293985
s2[7;2];8.227877255;8.22713;0.419261849214624;0.424231164000002;7.539175;8.9229425;1.00018111216159;6522.1237681932;6329.81493555586
s2[8;2];8.19710573875;8.19795;0.417607821360199;0.424268229000001;7.510824;8.8793545;1.00052288660838;6784.99647109175;6506.74137155955
s2[9;2];8.24740741125;8.242105;0.425673801993497;0.434765037;7.555009;8.943407;1.00021344854249;6800.81483340717;6720.29471395795
s2[10;2];6.4516943275;6.450845;0.0501825074956908;0.050052576;6.3689455;6.5341115;1.00107850223175;7061.78815156251;6687.7406684513
s2[11;2];6.450324915;6.450405;0.0497724948048384;0.0508457670000003;6.36723;6.5312225;1.00070453357107;7001.73876538968;6307.85007378935
s2[12;2];6.44992848375;6.45009;0.0495660618387144;0.0496300350000002;6.3684385;6.52968;0.999975611670377;7315.06851587322;6973.7551899976
s2[13;2];5.8850277975;5.884705;0.211575604814906;0.208490625;5.533715;6.235242;1.00077414414708;7360.42114498475;6714.44273545298
s2[14;2];5.88235875625;5.884575;0.206108168311438;0.207111807;5.544967;6.2208845;1.00081536213493;7201.88525893001;6523.415281392
s2[15;2];5.8731908;5.873955;0.207734190465715;0.21030681;5.5299735;6.2136325;1.00047270074006;6820.08844806001;7071.21361795189
s2[16;2];5.26431809625;5.26627;0.38473541175946;0.385816997999999;4.619067;5.899212;0.999998987258712;7372.76633816011;6422.23770049756
s2[17;2];5.31134410125;5.31299;0.383471342453485;0.383926683;4.68306;5.941991;1.00063241588734;6720.61493234434;6614.81384093412
s2[18;2];5.2812633525;5.28528;0.380491171387358;0.384601266;4.649895;5.898942;1.00002423699017;6846.9717173855;6555.6753235199
s2[19;2];10.27768427375;10.2754;0.510218328643124;0.51987369;9.4522125;11.118655;0.999999913179131;7531.58194581968;7130.33989072581
s2[20;2];10.3480859625;10.3433;0.514968008315125;0.519443735999999;9.5066755;11.19411;0.999903012991601;6962.86406512848;6012.56111753565
s2[21;2];10.35908658375;10.36365;0.510700493110663;0.503120309999999;9.5178605;11.21501;1.00063342377304;7128.02318069345;6907.45742484715
s2[1;3];9.46929404875;9.47064;0.211487964150723;0.209691531000001;9.124123;9.8181665;1.00055577931089;7258.29692325071;6757.35747831631
s2[2;3];9.47227185875;9.47257;0.210124647984105;0.212160059999999;9.1278445;9.8228065;0.999916329372888;7284.87243004709;6872.26374245407
s2[3;3];9.46053086625;9.45969;0.206602270007637;0.206518767000001;9.1267265;9.7971465;1.00114624814779;7352.51139526882;7107.19554503525
s2[4;3];8.6216013375;8.62194;0.132188830112124;0.131855031;8.404399;8.840026;0.999935677013312;7262.54804264415;7092.93966613652
s2[5;3];8.62938252125;8.62973;0.130405437307137;0.133841714999998;8.416093;8.8425745;1.00066227012674;7261.08107048624;6144.18862450582
s2[6;3];8.6339683875;8.634;0.127685773011047;0.129453219;8.4239135;8.844035;0.999969121268807;6983.57888530028;6906.58854561431
s2[7;3];10.42199586125;10.4164;0.269515907630916;0.266868;9.978968;10.8692;1.00012035954393;7108.00876633018;6452.10012218939
s2[8;3];10.39948672375;10.39915;0.266830471599151;0.27020385;9.9559515;10.83881;1.00087023999449;7014.85417865509;6815.8076223417
s2[9;3];10.42874065875;10.4289;0.275776781319454;0.275096429999999;9.969969;10.88312;1.00024253280573;7054.45577763741;6355.00377317351
