"X1.lambda";"X2.lambda";"X3.lambda";"X4.lambda"
0,0210234;0,0216233;0,0205294;0,0225532
0,0186881;0,0199118;0,0212164;0,0191578
0,0218002;0,0204215;0,0205196;0,0189416
0,0220525;0,0195234;0,0217677;0,0236567
0,0205253;0,022249;0,020537;0,0192151
0,0215714;0,0214703;0,0205473;0,0228701
0,0202667;0,0208932;0,0210419;0,0208054
0,0204837;0,0196663;0,0213335;0,0205729
0,0212625;0,0226349;0,01985;0,0204752
0,0191065;0,0220238;0,0201197;0,0226817
0,021559;0,0204675;0,0187483;0,0218719
0,021264;0,0216498;0,0209065;0,0227599
0,0204267;0,0196009;0,0209663;0,0222864
0,0200503;0,0212995;0,0192001;0,0205436
0,0214476;0,0203261;0,0208937;0,0196244
0,0211417;0,020571;0,0202274;0,022492
0,0205959;0,022518;0,0202118;0,0191433
0,0202252;0,0219181;0,0194404;0,0214149
0,0204696;0,0204936;0,0209603;0,0196331
0,022244;0,0214658;0,0223421;0,0211273
0,0211128;0,020807;0,0203308;0,0187619
0,021021;0,0206826;0,0196896;0,0194847
0,0203422;0,0203505;0,0222047;0,0193906
0,0209988;0,022693;0,0188654;0,0219356
0,0225869;0,0208714;0,0195417;0,0227292
0,0195064;0,0203319;0,0189931;0,0203277
0,0201627;0,0214451;0,0213993;0,021161
0,0200227;0,0215524;0,0210479;0,0205948
0,0213316;0,020519;0,0199346;0,0218663
0,0204273;0,0208173;0,0205035;0,0199943
0,0209442;0,0222714;0,0219798;0,0213887
0,0222729;0,0206811;0,0201503;0,0211548
0,0208247;0,0216413;0,019418;0,0222163
0,0210355;0,022592;0,0196319;0,0201713
0,0209927;0,0218165;0,0202919;0,0215902
0,0216321;0,0198979;0,0211037;0,020651
0,0202937;0,0231912;0,0218501;0,0235518
0,0209287;0,0197963;0,0199608;0,0188287
0,021274;0,020589;0,0231006;0,0227582
0,0214547;0,0209483;0,0191488;0,0208264
0,020958;0,0210105;0,0213593;0,0212522
0,0215562;0,0210762;0,0203329;0,0214451
0,0191364;0,020463;0,0205215;0,0217355
0,0225738;0,0223818;0,0224451;0,0221524
0,0200563;0,019386;0,0192627;0,0204092
0,0205292;0,0223868;0,0196855;0,020229
0,0202302;0,0202413;0,0209513;0,0220438
0,0212056;0,0205593;0,0215489;0,0196686
0,0205201;0,0210051;0,0220721;0,020831
0,0211452;0,0215327;0,0198979;0,0199745
0,0199053;0,0210135;0,020095;0,0210375
0,0212322;0,0212583;0,0199147;0,019997
0,02085;0,0209289;0,021062;0,0197649
0,0185958;0,0218074;0,0210635;0,0206525
0,0229191;0,0184871;0,0210472;0,0204921
0,0172037;0,0214059;0,0215438;0,0208479
0,0222362;0,0220435;0,0205451;0,0205961
0,0214869;0,0196349;0,0206453;0,0207023
0,0202829;0,0203417;0,0221854;0,0194604
0,0221438;0,0221466;0,0206953;0,0213436
0,0209336;0,0193557;0,0202436;0,0209513
0,0201302;0,0202923;0,0230281;0,0207814
0,0209433;0,0216446;0,0193596;0,020496
0,0203236;0,0198463;0,0190446;0,0215775
0,0200876;0,0200021;0,0233516;0,020038
0,0215957;0,0204701;0,0197265;0,0203732
0,0191937;0,0211222;0,0231552;0,0220297
0,0222228;0,0209995;0,0187773;0,0226056
0,0208615;0,0190175;0,0223433;0,0202912
0,0202759;0,0221162;0,0198743;0,0187725
0,0202781;0,0193236;0,021398;0,0193438
0,020744;0,021274;0,0210873;0,0205425
0,0208217;0,0205412;0,0211749;0,0220185
0,0201451;0,0205064;0,021576;0,0215026
0,0216983;0,0211504;0,0214321;0,0202447
0,019759;0,0192636;0,0199897;0,02196
0,0210653;0,0222329;0,0223745;0,0204653
0,0201112;0,0215555;0,0219532;0,0213959
0,0229243;0,0191806;0,0210896;0,0203281
0,0196896;0,0200352;0,0218472;0,0209856
0,0222871;0,021405;0,0188896;0,0206811
0,0195407;0,0198636;0,0215683;0,0208414
0,0205112;0,0216302;0,0213576;0,0203236
0,0216416;0,0211231;0,0209711;0,019657
0,0212673;0,021672;0,0203404;0,0218043
0,0215607;0,0204528;0,0225311;0,0207904
0,0208095;0,0205095;0,018485;0,0213097
0,0209572;0,0212521;0,0212874;0,0213674
0,0218653;0,0208853;0,0194072;0,0215513
0,0204013;0,0209493;0,0202179;0,0219148
0,0221074;0,0213668;0,0211928;0,0199191
0,0202464;0,0238482;0,0195137;0,0199855
0,0206744;0,0194422;0,0203228;0,020662
0,0229195;0,0214048;0,0202435;0,0210642
0,0202673;0,0214603;0,0213291;0,0196083
0,0224445;0,0207301;0,0210482;0,0212692
0,019694;0,0204044;0,0206225;0,0210695
0,0210757;0,0200146;0,0212487;0,0207553
0,0212637;0,0218106;0,0211962;0,0196714
0,0208116;0,0192712;0,0212974;0,0214518
0,0206804;0,0224796;0,0204071;0,0207489
0,0204139;0,0197711;0,0201412;0,0197421
0,0207389;0,0200508;0,0211393;0,0205321
0,0213658;0,0214226;0,020198;0,0220573
0,0203353;0,0215478;0,0208296;0,022116
0,0212001;0,0206123;0,0228065;0,0215899
0,0196371;0,021476;0,0195478;0,0208309
0,0207789;0,0216182;0,0235463;0,0211632
0,0219685;0,0204784;0,0194049;0,019506
0,0201367;0,0214211;0,0210304;0,0215817
0,0200924;0,020648;0,020716;0,0212812
0,0209944;0,0231988;0,020012;0,0209764
0,0226211;0,0209483;0,0198638;0,0218579
0,0202385;0,0216842;0,022069;0,0195999
0,0214631;0,0208802;0,02108;0,0202434
0,0195041;0,0207239;0,0197239;0,0208156
0,0226214;0,020381;0,0207471;0,0215984
0,0209982;0,022078;0,0222593;0,0209021
0,0212676;0,0208487;0,0237259;0,0197741
0,0207729;0,0219316;0,019636;0,0196455
0,019711;0,0226738;0,0212361;0,0236148
0,0225376;0,0214469;0,0194773;0,0198132
